symbol,side,group_name,model_name,train_rows,test_rows,positive_rate_train,positive_rate_test,accuracy,auc,features,auc_rank,acc_rank
BCH/USDT:USDT,long,BCH/USDT:USDT|long,logreg_l2_c03,300,100,0.5366666666666666,0.54,0.73,0.8321256038647343,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.8321256038647343,0.73
XRP/USDT:USDT,short,XRP/USDT:USDT|short,logreg_l2_c1,303,102,0.5346534653465347,0.5294117647058824,0.6764705882352942,0.7804783950617284,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7804783950617284,0.6764705882352942
BNB/USDT:USDT,short,BNB/USDT:USDT|short,logreg_l2_c1,340,114,0.5058823529411764,0.5087719298245614,0.6842105263157895,0.7798645320197044,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7798645320197044,0.6842105263157895
BCH/USDT:USDT,short,BCH/USDT:USDT|short,logreg_l2_c03,255,85,0.49411764705882355,0.49411764705882355,0.6941176470588235,0.7774086378737542,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7774086378737542,0.6941176470588235
DOGE/USDT:USDT,long,DOGE/USDT:USDT|long,logreg_l2_c03,229,77,0.5633187772925764,0.5584415584415584,0.7402597402597403,0.7674418604651162,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7674418604651162,0.7402597402597403
ETH/USDT:USDT,short,ETH/USDT:USDT|short,logreg_l2_c03,384,129,0.4947916666666667,0.49612403100775193,0.627906976744186,0.764423076923077,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.764423076923077,0.627906976744186
AVAX/USDT:USDT,short,AVAX/USDT:USDT|short,logreg_l2_c03,352,118,0.5028409090909091,0.5,0.6610169491525424,0.7506463659867855,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7506463659867855,0.6610169491525424
BTC/USDT:USDT,short,BTC/USDT:USDT|short,hgb_200_d4,255,86,0.49411764705882355,0.4883720930232558,0.6744186046511628,0.7462121212121211,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7462121212121211,0.6744186046511628
DOGE/USDT:USDT,short,DOGE/USDT:USDT|short,hgb_300_d6,313,105,0.5559105431309904,0.5619047619047619,0.7333333333333333,0.7380250552689757,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7380250552689757,0.7333333333333333
AAVE/USDT:USDT,short,AAVE/USDT:USDT|short,logreg_l2_c03,317,106,0.6088328075709779,0.6037735849056604,0.6509433962264151,0.7012648809523809,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.7012648809523809,0.6509433962264151
LINK/USDT:USDT,short,LINK/USDT:USDT|short,rf_300_d6,246,83,0.47560975609756095,0.46987951807228917,0.6626506024096386,0.6911421911421912,signal_strength|base_weight|adx|atrp|rsi|ret_1h_lag|ret_4h_lag|ret_12h_lag|ret_24h_lag|ema_gap_fast_slow|dist_close_ema_fast|dist_close_ema_slow|range_pct|rolling_vol_24h|rolling_vol_72h|atrp_zscore|breakout_distance_up|breakout_distance_down|pullback_depth|btc_ret_24h_lag|btc_rolling_vol_24h|btc_atrp|btc_adx|strategy_id,0.6911421911421912,0.6626506024096386
